round,roundNumber,game,fixtureGame,matchup,player,team,opponent,homeAway,human_vote,modelEV
Round 4,4,2,2,North Melbourne v Carlton,Dylan Stephens,North Melbourne,Carlton,Home,2.0,1.946
Round 1,1,7,7,North Melbourne v Port Adelaide,Harry Sheezel,North Melbourne,Port Adelaide,Home,2.0,1.882
Round 2,2,7,7,West Coast v North Melbourne,Harry Sheezel,North Melbourne,West Coast,Away,1.0,0.866
Round 3,3,5,5,Essendon v North Melbourne,Harry Sheezel,North Melbourne,Essendon,Away,1.0,0.866
Round 4,4,2,2,North Melbourne v Carlton,Harry Sheezel,North Melbourne,Carlton,Home,1.0,0.866
Round 6,6,7,7,North Melbourne v Richmond,Harry Sheezel,North Melbourne,Richmond,Home,3.0,2.773
Round 7,7,9,9,Greater Western Sydney v North Melbourne,Harry Sheezel,North Melbourne,Greater Western Sydney,Away,1.0,0.866
Round 9,9,4,4,North Melbourne v Sydney,Harry Sheezel,North Melbourne,Sydney,Home,1.0,0.866
Round 11,11,4,4,North Melbourne v Gold Coast,Harry Sheezel,North Melbourne,Gold Coast,Home,0.5,0.311
Round 14,14,4,4,North Melbourne v West Coast,Harry Sheezel,North Melbourne,West Coast,Home,3.0,2.773
Round 15,15,6,6,Richmond v North Melbourne,Harry Sheezel,North Melbourne,Richmond,Away,1.0,0.866
Round 16,16,6,7,North Melbourne v Essendon,Harry Sheezel,North Melbourne,Essendon,Home,3.0,2.773
Round 17,17,9,9,Port Adelaide v North Melbourne,Harry Sheezel,North Melbourne,Port Adelaide,Away,2.0,1.882
Round 19,19,4,4,North Melbourne v Melbourne,Harry Sheezel,North Melbourne,Melbourne,Home,1.0,0.866
Round 20,20,9,9,North Melbourne v St Kilda,Harry Sheezel,North Melbourne,St Kilda,Home,0.5,0.311
Round 22,22,1,1,Western Bulldogs v North Melbourne,Harry Sheezel,North Melbourne,Western Bulldogs,Away,0.5,0.311
Round 1,1,7,7,North Melbourne v Port Adelaide,Luke Parker,North Melbourne,Port Adelaide,Home,1.0,0.931
Round 3,3,5,5,Essendon v North Melbourne,Luke Parker,North Melbourne,Essendon,Away,3.0,2.856
Round 9,9,4,4,North Melbourne v Sydney,Luke Parker,North Melbourne,Sydney,Home,0.5,0.37
Round 15,15,6,6,Richmond v North Melbourne,Luke Parker,North Melbourne,Richmond,Away,0.5,0.37
Round 16,16,6,7,North Melbourne v Essendon,Luke Parker,North Melbourne,Essendon,Home,0.5,0.37
Round 1,1,7,7,North Melbourne v Port Adelaide,Luke Davies-Uniacke,North Melbourne,Port Adelaide,Home,0.5,0.378
Round 3,3,5,5,Essendon v North Melbourne,Luke Davies-Uniacke,North Melbourne,Essendon,Away,0.5,0.378
Round 5,5,3,3,North Melbourne v Brisbane,Luke Davies-Uniacke,North Melbourne,Brisbane,Home,2.0,2.0
Round 6,6,7,7,North Melbourne v Richmond,Luke Davies-Uniacke,North Melbourne,Richmond,Home,1.0,0.951
Round 9,9,4,4,North Melbourne v Sydney,Luke Davies-Uniacke,North Melbourne,Sydney,Home,2.0,2.0
Round 11,11,4,4,North Melbourne v Gold Coast,Luke Davies-Uniacke,North Melbourne,Gold Coast,Home,3.0,2.919
Round 16,16,6,7,North Melbourne v Essendon,Luke Davies-Uniacke,North Melbourne,Essendon,Home,2.0,2.0
Round 17,17,9,9,Port Adelaide v North Melbourne,Luke Davies-Uniacke,North Melbourne,Port Adelaide,Away,1.0,0.951
Round 21,21,4,4,Hawthorn v North Melbourne,Luke Davies-Uniacke,North Melbourne,Hawthorn,Away,0.5,0.378
Round 22,22,1,1,Western Bulldogs v North Melbourne,Luke Davies-Uniacke,North Melbourne,Western Bulldogs,Away,3.0,2.919
Round 1,1,8,8,Melbourne v St Kilda,Max Gawn,Melbourne,St Kilda,Home,3.0,2.945
Round 3,3,7,7,Carlton v Melbourne,Max Gawn,Melbourne,Carlton,Away,2.0,2.039
Round 4,4,6,6,Melbourne v Gold Coast,Max Gawn,Melbourne,Gold Coast,Home,3.0,2.945
Round 5,5,4,4,Essendon v Melbourne,Max Gawn,Melbourne,Essendon,Away,0.5,0.439
Round 10,10,5,5,Melbourne v Hawthorn,Max Gawn,Melbourne,Hawthorn,Home,2.0,2.039
Round 13,13,8,8,Collingwood v Melbourne,Max Gawn,Melbourne,Collingwood,Away,0.5,0.439
Round 14,14,3,3,Melbourne v Essendon,Max Gawn,Melbourne,Essendon,Home,2.0,2.039
Round 15,15,3,3,Adelaide v Melbourne,Max Gawn,Melbourne,Adelaide,Away,2.0,2.039
Round 17,17,4,4,Hawthorn v Melbourne,Max Gawn,Melbourne,Hawthorn,Away,2.0,2.039
Round 18,18,8,8,Melbourne v Richmond,Max Gawn,Melbourne,Richmond,Home,0.5,0.439
Round 21,21,8,8,Gold Coast v Melbourne,Max Gawn,Melbourne,Gold Coast,Away,3.0,2.945
Round 23,23,6,6,Port Adelaide v Melbourne,Max Gawn,Melbourne,Port Adelaide,Away,2.0,2.039
Round 24,24,4,4,Melbourne v Western Bulldogs,Max Gawn,Melbourne,Western Bulldogs,Home,2.0,2.039
Round 1,1,8,8,Melbourne v St Kilda,Jacob van Rooyen,Melbourne,St Kilda,Home,2.0,1.946
Round 9,9,8,8,Melbourne v West Coast,Jacob van Rooyen,Melbourne,West Coast,Home,2.0,1.946
Round 17,17,4,4,Hawthorn v Melbourne,Jacob van Rooyen,Melbourne,Hawthorn,Away,3.0,2.84
Round 18,18,8,8,Melbourne v Richmond,Jacob van Rooyen,Melbourne,Richmond,Home,3.0,2.84
Round 1,1,8,8,Melbourne v St Kilda,Max Hall,St Kilda,Melbourne,Away,1.0,0.9
Round 8,8,7,7,Carlton v St Kilda,Max Hall,St Kilda,Carlton,Away,1.0,0.9
Round 10,10,8,8,St Kilda v Richmond,Max Hall,St Kilda,Richmond,Home,2.0,1.891
Round 11,11,3,2,Fremantle v St Kilda,Max Hall,St Kilda,Fremantle,Away,0.5,0.358
Round 17,17,8,8,Essendon v St Kilda,Max Hall,St Kilda,Essendon,Away,1.0,0.9
Round 21,21,3,3,St Kilda v Sydney,Max Hall,St Kilda,Sydney,Home,0.5,0.358
Round 22,22,9,9,St Kilda v Carlton,Max Hall,St Kilda,Carlton,Home,1.0,0.9
Round 23,23,2,2,Richmond v St Kilda,Max Hall,St Kilda,Richmond,Away,3.0,2.76
Round 24,24,1,1,St Kilda v Gold Coast,Max Hall,St Kilda,Gold Coast,Home,1.0,0.9
Round 1,1,9,9,Gold Coast v West Coast,Noah Anderson,Gold Coast,West Coast,Home,2.0,1.897
Round 9,9,6,6,Gold Coast v St Kilda,Noah Anderson,Gold Coast,St Kilda,Home,1.0,0.902
Round 10,10,3,3,Gold Coast v Port Adelaide,Noah Anderson,Gold Coast,Port Adelaide,Home,3.0,2.769
Round 14,14,2,2,Geelong v Gold Coast,Noah Anderson,Gold Coast,Geelong,Away,1.0,0.902
Round 15,15,2,2,Gold Coast v Hawthorn,Noah Anderson,Gold Coast,Hawthorn,Home,2.0,1.897
Round 22,22,7,7,Greater Western Sydney v Gold Coast,Noah Anderson,Gold Coast,Greater Western Sydney,Away,1.0,0.902
Round 24,24,1,1,St Kilda v Gold Coast,Noah Anderson,Gold Coast,St Kilda,Away,2.0,1.897
Round 1,1,9,9,Gold Coast v West Coast,Jarrod Witts,Gold Coast,West Coast,Home,1.0,0.863
Round 1,1,9,9,Gold Coast v West Coast,Joel Jeffrey,Gold Coast,West Coast,Home,0.5,0.382
Round 2,2,1,1,Hawthorn v Sydney,Dylan Moore,Hawthorn,Sydney,Home,3.0,2.84
Round 15,15,2,2,Gold Coast v Hawthorn,Dylan Moore,Hawthorn,Gold Coast,Away,0.5,0.368
Round 24,24,9,9,West Coast v Hawthorn,Dylan Moore,Hawthorn,West Coast,Away,1.0,0.926
Round 2,2,1,1,Hawthorn v Sydney,Jai Newcombe,Hawthorn,Sydney,Home,2.0,2.068
Round 5,5,6,6,Hawthorn v Western Bulldogs,Jai Newcombe,Hawthorn,Western Bulldogs,Home,3.0,2.975
Round 7,7,3,3,Hawthorn v Gold Coast,Jai Newcombe,Hawthorn,Gold Coast,Home,3.0,2.975
Round 8,8,1,1,Collingwood v Hawthorn,Jai Newcombe,Hawthorn,Collingwood,Away,2.0,2.068
Round 13,13,2,2,Hawthorn v Western Bulldogs,Jai Newcombe,Hawthorn,Western Bulldogs,Home,2.0,2.068
Round 15,15,2,2,Gold Coast v Hawthorn,Jai Newcombe,Hawthorn,Gold Coast,Away,3.0,2.975
Round 16,16,2,2,Hawthorn v Greater Western Sydney,Jai Newcombe,Hawthorn,Greater Western Sydney,Home,3.0,2.975
Round 21,21,4,4,Hawthorn v North Melbourne,Jai Newcombe,Hawthorn,North Melbourne,Home,3.0,2.975
Round 23,23,5,5,Hawthorn v Collingwood,Jai Newcombe,Hawthorn,Collingwood,Home,0.5,0.468
Round 2,2,1,1,Hawthorn v Sydney,Chad Warner,Sydney,Hawthorn,Away,0.5,0.372
Round 7,7,1,1,Western Bulldogs v Sydney,Chad Warner,Sydney,Western Bulldogs,Away,0.5,0.372
Round 12,12,3,3,Sydney v Richmond,Chad Warner,Sydney,Richmond,Home,1.0,0.934
Round 13,13,6,6,Sydney v St Kilda,Chad Warner,Sydney,St Kilda,Home,2.0,1.964
Round 14,14,5,5,Port Adelaide v Sydney,Chad Warner,Sydney,Port Adelaide,Away,2.0,1.964
Round 16,16,1,1,Brisbane v Sydney,Chad Warner,Sydney,Brisbane,Away,2.0,1.964
Round 20,20,6,6,Greater Western Sydney v Sydney,Chad Warner,Sydney,Greater Western Sydney,Away,2.0,1.964
Round 21,21,3,3,St Kilda v Sydney,Chad Warner,Sydney,St Kilda,Away,2.0,1.964
Round 22,22,4,4,Sydney v Port Adelaide,Chad Warner,Sydney,Port Adelaide,Home,2.0,1.964
Round 23,23,9,9,Essendon v Sydney,Chad Warner,Sydney,Essendon,Away,1.0,0.934
Round 2,2,2,2,Adelaide v Western Bulldogs,Joel Freijah,Western Bulldogs,Adelaide,Away,2.0,1.896
Round 2,2,2,2,Adelaide v Western Bulldogs,Jordan Dawson,Adelaide,Western Bulldogs,Home,0.5,0.461
Round 5,5,1,1,Adelaide v Carlton,Jordan Dawson,Adelaide,Carlton,Home,0.5,0.461
Round 9,9,9,9,Richmond v Adelaide,Jordan Dawson,Adelaide,Richmond,Away,2.0,2.118
Round 10,10,4,4,Adelaide v North Melbourne,Jordan Dawson,Adelaide,North Melbourne,Home,2.0,2.118
Round 11,11,1,1,Hawthorn v Adelaide,Jordan Dawson,Adelaide,Hawthorn,Away,1.0,1.046
Round 13,13,1,1,Adelaide v Geelong,Jordan Dawson,Adelaide,Geelong,Home,3.0,3.058
Round 14,14,1,1,Western Bulldogs v Adelaide,Jordan Dawson,Adelaide,Western Bulldogs,Away,3.0,3.058
Round 17,17,3,2,West Coast v Adelaide,Jordan Dawson,Adelaide,West Coast,Away,3.0,3.058
Round 18,18,6,6,Adelaide v Gold Coast,Jordan Dawson,Adelaide,Gold Coast,Home,2.0,2.118
Round 21,21,9,9,Essendon v Adelaide,Jordan Dawson,Adelaide,Essendon,Away,1.0,1.046
Round 22,22,6,6,Adelaide v Richmond,Jordan Dawson,Adelaide,Richmond,Home,2.0,2.118
Round 24,24,6,5,Adelaide v Greater Western Sydney,Jordan Dawson,Adelaide,Greater Western Sydney,Home,1.0,1.046
Round 2,2,3,3,Richmond v Gold Coast,Ben King,Gold Coast,Richmond,Away,3.0,2.889
Round 2,2,3,3,Richmond v Gold Coast,Bodhi Uwland,Gold Coast,Richmond,Away,1.0,0.89
Round 9,9,6,6,Gold Coast v St Kilda,Bodhi Uwland,Gold Coast,St Kilda,Home,0.5,0.354
Round 10,10,3,3,Gold Coast v Port Adelaide,Bodhi Uwland,Gold Coast,Port Adelaide,Home,1.0,0.89
Round 17,17,6,6,Gold Coast v Collingwood,Bodhi Uwland,Gold Coast,Collingwood,Home,0.5,0.354
Round 2,2,4,4,Greater Western Sydney v St Kilda,Lachie Ash,Greater Western Sydney,St Kilda,Home,3.0,2.869
Round 5,5,8,8,Greater Western Sydney v Richmond,Lachie Ash,Greater Western Sydney,Richmond,Home,2.0,1.966
Round 7,7,9,9,Greater Western Sydney v North Melbourne,Lachie Ash,Greater Western Sydney,North Melbourne,Home,0.5,0.372
Round 12,12,6,6,Melbourne v Greater Western Sydney,Lachie Ash,Greater Western Sydney,Melbourne,Away,0.5,0.372
Round 21,21,5,5,Port Adelaide v Greater Western Sydney,Lachie Ash,Greater Western Sydney,Port Adelaide,Away,0.5,0.372
Round 23,23,7,7,Greater Western Sydney v West Coast,Lachie Ash,Greater Western Sydney,West Coast,Home,3.0,2.869
Round 2,2,4,4,Greater Western Sydney v St Kilda,Nasiah Wanganeen-Milera,St Kilda,Greater Western Sydney,Away,1.0,1.07
Round 3,3,3,3,St Kilda v Brisbane,Nasiah Wanganeen-Milera,St Kilda,Brisbane,Home,0.5,0.491
Round 5,5,9,9,Port Adelaide v St Kilda,Nasiah Wanganeen-Milera,St Kilda,Port Adelaide,Away,3.0,3.056
Round 7,7,7,7,St Kilda v West Coast,Nasiah Wanganeen-Milera,St Kilda,West Coast,Home,3.0,3.056
Round 8,8,7,7,Carlton v St Kilda,Nasiah Wanganeen-Milera,St Kilda,Carlton,Away,3.0,3.056
Round 14,14,7,7,St Kilda v Greater Western Sydney,Nasiah Wanganeen-Milera,St Kilda,Greater Western Sydney,Home,2.0,2.128
Round 15,15,7,7,St Kilda v Western Bulldogs,Nasiah Wanganeen-Milera,St Kilda,Western Bulldogs,Home,2.0,2.128
Round 17,17,8,8,Essendon v St Kilda,Nasiah Wanganeen-Milera,St Kilda,Essendon,Away,3.0,3.056
Round 18,18,3,3,St Kilda v Port Adelaide,Nasiah Wanganeen-Milera,St Kilda,Port Adelaide,Home,0.5,0.491
Round 20,20,9,9,North Melbourne v St Kilda,Nasiah Wanganeen-Milera,St Kilda,North Melbourne,Away,3.0,3.056
Round 2,2,4,4,Greater Western Sydney v St Kilda,Callum Wilkie,St Kilda,Greater Western Sydney,Away,0.5,0.359
Round 5,5,9,9,Port Adelaide v St Kilda,Callum Wilkie,St Kilda,Port Adelaide,Away,1.0,0.904
Round 6,6,6,6,Adelaide v St Kilda,Callum Wilkie,St Kilda,Adelaide,Away,0.5,0.359
Round 18,18,3,3,St Kilda v Port Adelaide,Callum Wilkie,St Kilda,Port Adelaide,Home,2.0,1.9
Round 2,2,5,5,Fremantle v Melbourne,Andrew Brayshaw,Fremantle,Melbourne,Home,3.0,2.883
Round 4,4,3,3,Adelaide v Fremantle,Andrew Brayshaw,Fremantle,Adelaide,Away,2.0,1.992
Round 13,13,3,3,North Melbourne v Fremantle,Andrew Brayshaw,Fremantle,North Melbourne,Away,2.0,1.992
Round 15,15,1,1,Fremantle v Geelong,Andrew Brayshaw,Fremantle,Geelong,Home,2.0,1.992
Round 16,16,7,6,Fremantle v Gold Coast,Andrew Brayshaw,Fremantle,Gold Coast,Home,3.0,2.883
Round 18,18,1,1,Fremantle v Sydney,Andrew Brayshaw,Fremantle,Sydney,Home,0.5,0.419
Round 19,19,3,3,Port Adelaide v Fremantle,Andrew Brayshaw,Fremantle,Port Adelaide,Away,0.5,0.419
Round 2,2,5,5,Fremantle v Melbourne,Shai Bolton,Fremantle,Melbourne,Home,2.0,1.913
Round 3,3,4,4,Fremantle v Richmond,Shai Bolton,Fremantle,Richmond,Home,2.0,1.913
Round 7,7,6,6,Fremantle v Carlton,Shai Bolton,Fremantle,Carlton,Home,3.0,2.792
Round 8,8,2,2,Western Bulldogs v Fremantle,Shai Bolton,Fremantle,Western Bulldogs,Away,2.0,1.913
Round 10,10,7,7,Essendon v Fremantle,Shai Bolton,Fremantle,Essendon,Away,2.0,1.913
Round 11,11,3,2,Fremantle v St Kilda,Shai Bolton,Fremantle,St Kilda,Home,1.0,0.91
Round 23,23,1,1,Fremantle v Adelaide,Shai Bolton,Fremantle,Adelaide,Home,0.5,0.362
Round 2,2,5,5,Fremantle v Melbourne,Josh Treacy,Fremantle,Melbourne,Home,1.0,0.906
Round 3,3,4,4,Fremantle v Richmond,Josh Treacy,Fremantle,Richmond,Home,1.0,0.906
Round 11,11,3,2,Fremantle v St Kilda,Josh Treacy,Fremantle,St Kilda,Home,2.0,1.904
Round 12,12,4,4,Brisbane v Fremantle,Josh Treacy,Fremantle,Brisbane,Away,3.0,2.779
Round 18,18,1,1,Fremantle v Sydney,Josh Treacy,Fremantle,Sydney,Home,2.0,1.904
Round 21,21,2,2,Fremantle v Western Bulldogs,Josh Treacy,Fremantle,Western Bulldogs,Home,2.0,1.904
Round 2,2,5,5,Fremantle v Melbourne,Murphy Reid,Fremantle,Melbourne,Home,0.5,0.447
Round 4,4,3,3,Adelaide v Fremantle,Murphy Reid,Fremantle,Adelaide,Away,0.5,0.447
Round 6,6,9,8,West Coast v Fremantle,Murphy Reid,Fremantle,West Coast,Away,2.0,2.017
Round 10,10,7,7,Essendon v Fremantle,Murphy Reid,Fremantle,Essendon,Away,3.0,2.906
Round 11,11,3,2,Fremantle v St Kilda,Murphy Reid,Fremantle,St Kilda,Home,3.0,2.906
Round 15,15,1,1,Fremantle v Geelong,Murphy Reid,Fremantle,Geelong,Home,1.0,1.002
Round 16,16,7,6,Fremantle v Gold Coast,Murphy Reid,Fremantle,Gold Coast,Home,1.0,1.002
Round 18,18,1,1,Fremantle v Sydney,Murphy Reid,Fremantle,Sydney,Home,3.0,2.906
Round 20,20,3,2,Fremantle v West Coast,Murphy Reid,Fremantle,West Coast,Home,2.0,2.017
Round 2,2,6,6,Port Adelaide v Essendon,Zak Butters,Port Adelaide,Essendon,Home,3.0,2.997
Round 3,3,6,6,Port Adelaide v West Coast,Zak Butters,Port Adelaide,West Coast,Home,1.0,1.01
Round 4,4,4,4,Richmond v Port Adelaide,Zak Butters,Port Adelaide,Richmond,Away,2.0,2.069
Round 5,5,9,9,Port Adelaide v St Kilda,Zak Butters,Port Adelaide,St Kilda,Home,2.0,2.069
Round 6,6,5,5,Hawthorn v Port Adelaide,Zak Butters,Port Adelaide,Hawthorn,Away,3.0,2.997
Round 8,8,3,3,Adelaide v Port Adelaide,Zak Butters,Port Adelaide,Adelaide,Away,0.5,0.432
Round 9,9,3,3,Port Adelaide v Western Bulldogs,Zak Butters,Port Adelaide,Western Bulldogs,Home,1.0,1.01
Round 10,10,3,3,Gold Coast v Port Adelaide,Zak Butters,Port Adelaide,Gold Coast,Away,0.5,0.432
Round 14,14,5,5,Port Adelaide v Sydney,Zak Butters,Port Adelaide,Sydney,Home,0.5,0.432
Round 16,16,5,5,Port Adelaide v Adelaide,Zak Butters,Port Adelaide,Adelaide,Home,3.0,2.997
Round 17,17,9,9,Port Adelaide v North Melbourne,Zak Butters,Port Adelaide,North Melbourne,Home,0.5,0.432
Round 2,2,6,6,Port Adelaide v Essendon,Jason Horne-Francis,Port Adelaide,Essendon,Home,2.0,1.978
Round 4,4,4,4,Richmond v Port Adelaide,Jason Horne-Francis,Port Adelaide,Richmond,Away,1.0,0.961
Round 6,6,5,5,Hawthorn v Port Adelaide,Jason Horne-Francis,Port Adelaide,Hawthorn,Away,1.0,0.961
Round 7,7,5,5,Port Adelaide v Geelong,Jason Horne-Francis,Port Adelaide,Geelong,Home,3.0,2.869
Round 11,11,7,7,Port Adelaide v Carlton,Jason Horne-Francis,Port Adelaide,Carlton,Home,1.0,0.961
Round 13,13,5,5,West Coast v Port Adelaide,Jason Horne-Francis,Port Adelaide,West Coast,Away,3.0,2.869
Round 15,15,5,5,Collingwood v Port Adelaide,Jason Horne-Francis,Port Adelaide,Collingwood,Away,1.0,0.961
Round 16,16,5,5,Port Adelaide v Adelaide,Jason Horne-Francis,Port Adelaide,Adelaide,Home,2.0,1.978
Round 17,17,9,9,Port Adelaide v North Melbourne,Jason Horne-Francis,Port Adelaide,North Melbourne,Home,3.0,2.869
Round 20,20,8,8,Brisbane v Port Adelaide,Jason Horne-Francis,Port Adelaide,Brisbane,Away,0.5,0.405
Round 21,21,5,5,Port Adelaide v Greater Western Sydney,Jason Horne-Francis,Port Adelaide,Greater Western Sydney,Home,2.0,1.978
Round 2,2,6,6,Port Adelaide v Essendon,Aliir Aliir,Port Adelaide,Essendon,Home,1.0,0.911
Round 4,4,4,4,Richmond v Port Adelaide,Aliir Aliir,Port Adelaide,Richmond,Away,3.0,2.794
Round 8,8,3,3,Adelaide v Port Adelaide,Aliir Aliir,Port Adelaide,Adelaide,Away,1.0,0.911
Round 2,2,6,6,Port Adelaide v Essendon,Joe Richards,Port Adelaide,Essendon,Home,0.5,0.35
Round 14,14,5,5,Port Adelaide v Sydney,Joe Richards,Port Adelaide,Sydney,Home,1.0,0.879
Round 19,19,3,3,Port Adelaide v Fremantle,Joe Richards,Port Adelaide,Fremantle,Home,1.0,0.879
Round 2,2,7,7,West Coast v North Melbourne,Harley Reid,West Coast,North Melbourne,Home,3.0,2.831
Round 3,3,6,6,Port Adelaide v West Coast,Harley Reid,West Coast,Port Adelaide,Away,3.0,2.831
Round 8,8,5,5,West Coast v Richmond,Harley Reid,West Coast,Richmond,Home,2.0,1.94
Round 10,10,9,9,West Coast v Greater Western Sydney,Harley Reid,West Coast,Greater Western Sydney,Home,3.0,2.831
Round 12,12,7,7,West Coast v Essendon,Harley Reid,West Coast,Essendon,Home,2.0,1.94
Round 18,18,7,7,Western Bulldogs v West Coast,Harley Reid,West Coast,Western Bulldogs,Away,0.5,0.367
Round 21,21,7,7,Richmond v West Coast,Harley Reid,West Coast,Richmond,Away,2.0,1.94
Round 22,22,8,8,West Coast v Collingwood,Harley Reid,West Coast,Collingwood,Home,1.0,0.923
Round 2,2,7,7,West Coast v North Melbourne,Elliot Yeo,West Coast,North Melbourne,Home,2.0,1.896
Round 2,2,7,7,West Coast v North Melbourne,Tristan Xerri,North Melbourne,West Coast,Away,0.5,0.362
Round 7,7,9,9,Greater Western Sydney v North Melbourne,Tristan Xerri,North Melbourne,Greater Western Sydney,Away,2.0,1.915
Round 8,8,6,6,Geelong v North Melbourne,Tristan Xerri,North Melbourne,Geelong,Away,2.0,1.915
Round 18,18,2,2,Collingwood v North Melbourne,Tristan Xerri,North Melbourne,Collingwood,Away,0.5,0.362
Round 3,3,1,1,Geelong v Adelaide,Gryan Miers,Geelong,Adelaide,Home,1.0,0.863
Round 19,19,1,1,Geelong v St Kilda,Gryan Miers,Geelong,St Kilda,Home,1.0,0.863
Round 3,3,1,1,Geelong v Adelaide,Josh Rachele,Adelaide,Geelong,Away,0.5,0.377
Round 5,5,1,1,Adelaide v Carlton,Josh Rachele,Adelaide,Carlton,Home,3.0,2.904
Round 10,10,4,4,Adelaide v North Melbourne,Josh Rachele,Adelaide,North Melbourne,Home,0.5,0.377
Round 14,14,1,1,Western Bulldogs v Adelaide,Josh Rachele,Adelaide,Western Bulldogs,Away,0.5,0.377
Round 3,3,2,2,Collingwood v Greater Western Sydney,Tim Membrey,Collingwood,Greater Western Sydney,Home,0.5,0.354
Round 17,17,6,6,Gold Coast v Collingwood,Tim Membrey,Collingwood,Gold Coast,Away,1.0,0.891
Round 3,3,3,3,St Kilda v Brisbane,Jarrod Berry,Brisbane,St Kilda,Away,3.0,2.889
Round 3,3,3,3,St Kilda v Brisbane,Will Ashcroft,Brisbane,St Kilda,Away,2.0,1.961
Round 4,4,1,1,Brisbane v Collingwood,Will Ashcroft,Brisbane,Collingwood,Home,3.0,2.843
Round 6,6,8,9,Melbourne v Brisbane,Will Ashcroft,Brisbane,Melbourne,Away,1.0,0.956
Round 7,7,8,8,Brisbane v Adelaide,Will Ashcroft,Brisbane,Adelaide,Home,1.0,0.956
Round 14,14,6,6,Richmond v Brisbane,Will Ashcroft,Brisbane,Richmond,Away,3.0,2.843
Round 16,16,1,1,Brisbane v Sydney,Will Ashcroft,Brisbane,Sydney,Home,3.0,2.843
Round 17,17,1,1,Geelong v Brisbane,Will Ashcroft,Brisbane,Geelong,Away,3.0,2.843
Round 18,18,9,9,Brisbane v Essendon,Will Ashcroft,Brisbane,Essendon,Home,3.0,2.843
Round 20,20,8,8,Brisbane v Port Adelaide,Will Ashcroft,Brisbane,Port Adelaide,Home,2.0,1.961
Round 22,22,2,2,Brisbane v Hawthorn,Will Ashcroft,Brisbane,Hawthorn,Home,2.0,1.961
Round 23,23,4,4,Brisbane v Gold Coast,Will Ashcroft,Brisbane,Gold Coast,Home,3.0,2.843
Round 24,24,2,2,Collingwood v Brisbane,Will Ashcroft,Brisbane,Collingwood,Away,1.0,0.956
Round 3,3,3,3,St Kilda v Brisbane,Levi Ashcroft,Brisbane,St Kilda,Away,1.0,0.879
Round 9,9,2,2,Brisbane v Carlton,Levi Ashcroft,Brisbane,Carlton,Home,1.0,0.879
Round 23,23,4,4,Brisbane v Gold Coast,Levi Ashcroft,Brisbane,Gold Coast,Home,0.5,0.35
Round 3,3,4,4,Fremantle v Richmond,Caleb Serong,Fremantle,Richmond,Home,3.0,2.906
Round 4,4,3,3,Adelaide v Fremantle,Caleb Serong,Fremantle,Adelaide,Away,3.0,2.906
Round 9,9,1,1,Fremantle v Hawthorn,Caleb Serong,Fremantle,Hawthorn,Home,2.0,2.002
Round 10,10,7,7,Essendon v Fremantle,Caleb Serong,Fremantle,Essendon,Away,0.5,0.408
Round 19,19,3,3,Port Adelaide v Fremantle,Caleb Serong,Fremantle,Port Adelaide,Away,3.0,2.906
Round 23,23,1,1,Fremantle v Adelaide,Caleb Serong,Fremantle,Adelaide,Home,3.0,2.906
Round 3,3,4,4,Fremantle v Richmond,Tim Taranto,Richmond,Fremantle,Away,0.5,0.369
Round 11,11,2,3,Richmond v Essendon,Tim Taranto,Richmond,Essendon,Home,3.0,2.848
Round 14,14,6,6,Richmond v Brisbane,Tim Taranto,Richmond,Brisbane,Home,2.0,1.951
Round 16,16,4,4,Collingwood v Richmond,Tim Taranto,Richmond,Collingwood,Away,1.0,0.928
Round 17,17,7,7,Richmond v Carlton,Tim Taranto,Richmond,Carlton,Home,0.5,0.369
Round 21,21,7,7,Richmond v West Coast,Tim Taranto,Richmond,West Coast,Home,3.0,2.848
Round 24,24,5,6,Geelong v Richmond,Tim Taranto,Richmond,Geelong,Away,0.5,0.369
Round 3,3,5,5,Essendon v North Melbourne,Colby McKercher,North Melbourne,Essendon,Away,2.0,1.916
Round 6,6,7,7,North Melbourne v Richmond,Colby McKercher,North Melbourne,Richmond,Home,0.5,0.362
Round 3,3,6,6,Port Adelaide v West Coast,Tim Kelly,West Coast,Port Adelaide,Away,2.0,1.887
Round 10,10,9,9,West Coast v Greater Western Sydney,Tim Kelly,West Coast,Greater Western Sydney,Home,1.0,0.897
Round 14,14,4,4,North Melbourne v West Coast,Tim Kelly,West Coast,North Melbourne,Away,0.5,0.357
Round 3,3,6,6,Port Adelaide v West Coast,Jake Waterman,West Coast,Port Adelaide,Away,0.5,0.382
Round 3,3,7,7,Carlton v Melbourne,Kysaiah Pickett,Melbourne,Carlton,Away,3.0,3.12
Round 4,4,6,6,Melbourne v Gold Coast,Kysaiah Pickett,Melbourne,Gold Coast,Home,1.0,1.102
Round 7,7,2,2,Richmond v Melbourne,Kysaiah Pickett,Melbourne,Richmond,Away,3.0,3.12
Round 13,13,8,8,Collingwood v Melbourne,Kysaiah Pickett,Melbourne,Collingwood,Away,3.0,3.12
Round 14,14,3,3,Melbourne v Essendon,Kysaiah Pickett,Melbourne,Essendon,Home,3.0,3.12
Round 19,19,4,4,North Melbourne v Melbourne,Kysaiah Pickett,Melbourne,North Melbourne,Away,2.0,2.178
Round 22,22,3,3,Melbourne v Fremantle,Kysaiah Pickett,Melbourne,Fremantle,Home,3.0,3.12
Round 3,3,7,7,Carlton v Melbourne,Jack Steele,Melbourne,Carlton,Away,1.0,0.89
