round,fixtureGame,home,away
Round 20,1,Adelaide,Collingwood
Round 20,2,Fremantle,West Coast
Round 20,3,Melbourne,Geelong
Round 20,4,Carlton,Gold Coast
Round 20,5,Hawthorn,Essendon
Round 20,6,Greater Western Sydney,Sydney
Round 20,7,Western Bulldogs,Richmond
Round 20,8,Brisbane,Port Adelaide
Round 20,9,North Melbourne,St Kilda
Round 21,1,Collingwood,Geelong
Round 21,2,Fremantle,Western Bulldogs
Round 21,3,St Kilda,Sydney
Round 21,4,Hawthorn,North Melbourne
Round 21,5,Port Adelaide,Greater Western Sydney
Round 21,6,Carlton,Brisbane
Round 21,7,Richmond,West Coast
Round 21,8,Gold Coast,Melbourne
Round 21,9,Essendon,Adelaide
Round 22,1,Western Bulldogs,North Melbourne
Round 22,2,Brisbane,Hawthorn
Round 22,3,Melbourne,Fremantle
Round 22,4,Sydney,Port Adelaide
Round 22,5,Geelong,Essendon
Round 22,6,Adelaide,Richmond
Round 22,7,Greater Western Sydney,Gold Coast
Round 22,8,West Coast,Collingwood
Round 22,9,St Kilda,Carlton
Round 23,1,Fremantle,Adelaide
Round 23,2,Richmond,St Kilda
Round 23,3,North Melbourne,Geelong
Round 23,4,Brisbane,Gold Coast
Round 23,5,Hawthorn,Collingwood
Round 23,6,Port Adelaide,Melbourne
Round 23,7,Greater Western Sydney,West Coast
Round 23,8,Western Bulldogs,Carlton
Round 23,9,Essendon,Sydney
Round 24,1,St Kilda,Gold Coast
Round 24,2,Collingwood,Brisbane
Round 24,3,Carlton,Fremantle
Round 24,4,Melbourne,Western Bulldogs
Round 24,5,Adelaide,Greater Western Sydney
Round 24,6,Geelong,Richmond
Round 24,7,Essendon,Port Adelaide
Round 24,8,Sydney,North Melbourne
Round 24,9,West Coast,Hawthorn
